item_name,item_code
AYAM BERSIH - STANDARD,1
BAWANG BESAR IMPORT (INDIA),1440
BAWANG BESAR KUNING OR HOLLAND,129
BAWANG KECIL MERAH BIASA IMPORT (INDIA),1442
BAWANG KECIL MERAH ROSE IMPORT (INDIA),131
BAWANG PERAI (LEEK) IMPORT,1400
BAWANG PUTIH IMPORT (CHINA),1564
BAYAM HIJAU,1556
BAYAM MERAH,1557
BETIK BIASA,16
BROKOLI,1479
CILI AKAR HIJAU,1926
CILI AKAR MERAH,1927
CILI HIJAU,92
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),1899
DADA AYAM (CHICKEN KEEL) (1KG),1551
DAGING LEMBU TEMPATAN BAHAGIAN DAGING PAHA (KECUALI BATANG PINANG - TENDER ONLY),1431
DRAGON FRUIT MERAH,22
EPAL HIJAU GRANNY SMITH (SAIZ M),1485
HALIA BASAH (TUA),95
IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),43
IKAN BILIS GRED B (KOPEK),148
IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),47
IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),49
IKAN JENAHAK,51
IKAN JENAHAK (KEPINGAN),1915
IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),88
IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),1476
IKAN KEMBUNG KECIL OR PELALING,55
IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),65
IKAN KERISI (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1436
IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),1477
IKAN PARI (KEPINGAN),68
IKAN SELAR PELATA,70
IKAN SELAYANG OR SARDIN,71
IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),1437
IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),82
IKAN TENGGIRI BATANG (KEPINGAN),1438
IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1921
IKAN TONGKOL OR AYA OR KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),83
JAMBU BATU BERBIJI,38
JAMBU BATU TANPA BIJI,39
KACANG BENDI,96
KACANG BOTOL,1818
KACANG BUNCIS,97
KACANG DAL (AUSTRALIA),1422
KACANG HIJAU (IMPORT),152
KACANG MERAH (IMPORT),1943
KACANG PANJANG,98
KACANG SOYA (IMPORT),1944
KACANG TANAH (IMPORT),368
KAILAN,1560
KANGKUNG,1559
KELAPA BIJI,101
KELAPA PARUT,102
KEPAK AYAM (CHICKEN WING),1804
KEPALA IKAN JENAHAK,52
KERANG (SAIZ SEDERHANA),1920
KETAM RENJONG atau BUNGA(ANTARA 5 HINGGA 8 EKOR SEKILOGRAM),847
KUBIS BULAT (TEMPATAN),105
KUBIS BULAT IMPORT (BEIJING),1458
KUBIS BULAT IMPORT (CHINA),104
KUBIS BUNGA (CAULIFLOWER),1481
KUBIS PANJANG CHINA - BESAR,1412
KUNYIT HIDUP,108
LADA BENGGALA HIJAU (CAPSICUM),1128
LADA BENGGALA KUNING (CAPSICUM),1130
LADA BENGGALA MERAH (CAPSICUM),1129
LENGKUAS,1819
LIMAU KASTURI,1928
LIMAU NIPIS,1132
LOBAK MERAH,109
NENAS BIASA,25
PAHA AYAM (CHICKEN DRUMSTICK),1550
PISANG BERANGAN,18
PISANG EMAS,19
SADERI,1922
SANTAN KELAPA SEGAR (PEKAT),1929
SAWI HIJAU,1558
SOTONG (Lebih atau samadengan 6 EKOR SEKILOGRAM),845
TAUGE KACANG HIJAU,1561
TAUHU (JENIS KERAS),1945
TELUR AYAM GRED A,1109
TELUR AYAM GRED B,1110
TELUR AYAM GRED C,1111
TELUR AYAM KAMPUNG,1930
TELUR MASIN (1 biji),1820
TELUR MASIN (4 biji),1821
TEMBIKAI MERAH TANPA BIJI,21
TEMBIKAI SUSU,24
TEMPE (BUNGKUSAN PLASTIK),1946
TERUNG PANJANG,112
THIGH AYAM,1552
TIMUN,113
TOMATO,114
UBI KENTANG IMPORT (CHINA),1131
UDANG HARIMAU (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),850
UDANG KERING,1562
UDANG PUTIH OR VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),1555
WHOLE LEG AYAM,1553
